# CRC MEDLANKY DEFAULT (Data loaded from a file)
# 727 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (22,9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
11.812,489.3,-8.012,16.896,21.254,67.929,274.562,0.157,274.562,0.033,14.7,65.794,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.063,9.455e5,0,60.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,4.986,9.869,922.3,337.28,0.002,0.087
11.814,489.281,-7.974,16.585,21.106,66.953,274.596,0.157,274.596,0.033,14.549,64.866,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.063,9.389e5,0,59.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,4.992,9.87,922.3,337.28,0.002,0.087
11.817,489.262,-7.935,16.274,20.956,65.978,274.631,0.157,274.631,0.033,14.397,63.939,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.063,9.322e5,0,59.146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,4.998,9.87,922.3,337.28,0.002,0.088
11.819,489.243,-7.896,15.963,20.805,65.003,274.665,0.157,274.665,0.033,14.244,63.012,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.062,9.255e5,0,58.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.004,9.87,922.3,337.28,0.002,0.088
11.821,489.223,-7.857,15.653,20.653,64.028,274.701,0.157,274.701,0.033,14.089,62.085,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.062,9.187e5,0,57.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.011,9.87,922.3,337.28,0.002,0.088
11.824,489.203,-7.818,15.343,20.5,63.054,274.736,0.158,274.736,0.033,13.933,61.159,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.061,9.119e5,0,56.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.017,9.87,922.3,337.28,0.003,0.088
11.827,489.183,-7.779,15.032,20.346,62.08,274.772,0.158,274.773,0.033,13.776,60.233,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.061,9.051e5,0,55.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.024,9.87,922.3,337.28,0.003,0.088
11.829,489.162,-7.74,14.722,20.191,61.107,274.809,0.158,274.809,0.033,13.618,59.307,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.06,8.982e5,0,54.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.031,9.87,922.3,337.28,0.003,0.088
11.832,489.141,-7.7,14.413,20.035,60.134,274.846,0.158,274.846,0.033,13.458,58.381,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.06,8.912e5,0,54.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.038,9.87,922.3,337.28,0.003,0.088
11.835,489.12,-7.661,14.103,19.877,59.162,274.884,0.158,274.884,0.033,13.297,57.456,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.059,8.842e5,0,53.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.045,9.871,922.3,337.28,0.003,0.088
11.838,489.098,-7.621,13.793,19.719,58.19,274.922,0.158,274.922,0.033,13.134,56.531,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.059,8.772e5,0,52.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.052,9.871,922.3,337.281,0.003,0.088
11.841,489.075,-7.581,13.484,19.559,57.218,274.96,0.158,274.96,0.033,12.97,55.607,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.058,8.701e5,0,51.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.06,9.871,922.3,337.281,0.003,0.088
11.844,489.052,-7.541,13.175,19.398,56.248,274.999,0.158,274.999,0.033,12.805,54.683,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.058,8.629e5,0,50.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.067,9.871,922.3,337.281,0.003,0.088
11.847,489.029,-7.501,12.866,19.236,55.277,275.039,0.158,275.039,0.033,12.637,53.759,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.058,8.557e5,0,49.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.075,9.871,922.3,337.281,0.003,0.088
11.85,489.005,-7.461,12.558,19.072,54.308,275.079,0.158,275.079,0.033,12.469,52.836,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.057,8.484e5,0,49.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.083,9.871,922.3,337.281,0.003,0.088
11.853,488.98,-7.421,12.249,18.907,53.338,275.12,0.158,275.12,0.033,12.298,51.913,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.057,8.411e5,0,48.311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.092,9.871,922.3,337.281,0.003,0.088
11.856,488.957,-7.383,11.932,18.741,52.325,275.159,0.158,275.159,0.033,12.134,50.947,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.056,8.337e5,0,47.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.092,9.872,922.3,337.281,0.003,0.088
11.86,488.932,-7.344,11.63,18.574,51.357,275.199,0.158,275.199,0.033,11.968,50.023,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.056,8.262e5,0,46.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.092,9.872,922.3,337.281,0.003,0.088
11.863,488.907,-7.305,11.327,18.405,50.388,275.24,0.158,275.24,0.033,11.8,49.099,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.055,8.187e5,0,45.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.093,9.872,922.3,337.281,0.003,0.088
11.867,488.882,-7.267,11.025,18.234,49.421,275.281,0.158,275.281,0.033,11.631,48.175,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.055,8.112e5,0,44.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.093,9.872,922.3,337.281,0.004,0.088
11.87,488.855,-7.228,10.722,18.062,48.453,275.322,0.158,275.323,0.033,11.46,47.252,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.054,8.035e5,0,44.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.093,9.872,922.3,337.281,0.004,0.088
11.874,488.828,-7.189,10.42,17.889,47.487,275.365,0.158,275.365,0.033,11.287,46.33,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.054,7.958e5,0,43.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.094,9.872,922.3,337.282,0.004,0.088
11.878,488.801,-7.15,10.119,17.714,46.521,275.408,0.158,275.408,0.033,11.113,45.407,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.053,7.88e5,0,42.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.094,9.873,922.3,337.282,0.004,0.088
11.882,488.773,-7.111,9.817,17.537,45.556,275.452,0.159,275.452,0.033,10.936,44.486,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.053,7.802e5,0,41.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.095,9.873,922.3,337.282,0.004,0.088
11.886,488.744,-7.072,9.516,17.359,44.592,275.496,0.159,275.496,0.033,10.758,43.565,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.052,7.722e5,0,40.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.095,9.873,922.3,337.282,0.004,0.088
11.89,488.714,-7.033,9.215,17.179,43.629,275.541,0.159,275.541,0.033,10.578,42.645,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.051,7.642e5,0,39.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.096,9.873,922.3,337.282,0.004,0.088
11.895,488.683,-6.994,8.914,16.998,42.666,275.587,0.159,275.587,0.033,10.396,41.725,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.051,7.562e5,0,39.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.096,9.873,922.4,337.282,0.004,0.088
11.899,488.652,-6.956,8.614,16.815,41.705,275.633,0.159,275.633,0.033,10.212,40.806,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.05,7.48e5,0,38.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.097,9.874,922.4,337.282,0.005,0.088
11.904,488.619,-6.917,8.314,16.629,40.744,275.681,0.159,275.681,0.033,10.026,39.887,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.05,7.398e5,0,37.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.097,9.874,922.4,337.282,0.005,0.088
11.909,488.586,-6.877,8.017,16.442,39.796,275.729,0.159,275.729,0.033,9.835,38.98,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.049,7.314e5,0,36.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.1,9.874,922.4,337.283,0.005,0.088
11.914,488.551,-6.838,7.717,16.253,38.84,275.779,0.159,275.779,0.033,9.641,38.066,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.049,7.23e5,0,35.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.103,9.874,922.4,337.283,0.005,0.088
11.919,488.515,-6.799,7.417,16.062,37.883,275.829,0.159,275.829,0.033,9.445,37.15,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.048,7.145e5,0,35.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.107,9.874,922.4,337.283,0.005,0.088
11.924,488.478,-6.76,7.117,15.869,36.928,275.88,0.159,275.88,0.033,9.247,36.235,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.048,7.06e5,0,34.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,5.111,9.875,922.4,337.283,0.005,0.089
11.93,488.439,-6.721,6.818,15.674,35.973,275.932,0.159,275.932,0.033,9.045,35.321,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.047,6.973e5,0,33.437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.115,9.875,922.4,337.283,0.006,0.089
11.936,488.399,-6.683,6.52,15.477,35.02,275.985,0.159,275.985,0.033,8.841,34.408,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.046,6.885e5,0,32.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.119,9.875,922.4,337.283,0.006,0.089
11.942,488.358,-6.644,6.222,15.277,34.069,276.039,0.159,276.04,0.033,8.634,33.496,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.046,6.796e5,0,31.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.123,9.875,922.4,337.283,0.006,0.089
11.949,488.315,-6.606,5.924,15.075,33.119,276.094,0.159,276.095,0.033,8.424,32.585,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.045,6.707e5,0,30.992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.127,9.876,922.4,337.284,0.006,0.089
11.955,488.271,-6.568,5.627,14.871,32.17,276.151,0.16,276.151,0.033,8.21,31.674,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.045,6.616e5,0,30.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.132,9.876,922.4,337.284,0.007,0.089
11.962,488.228,-6.533,5.315,14.665,31.151,276.204,0.16,276.204,0.033,8.009,30.694,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.044,6.524e5,0,29.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.119,9.876,922.4,337.284,0.007,0.089
11.969,488.184,-6.499,5.023,14.456,30.189,276.257,0.16,276.257,0.033,7.809,29.768,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.043,6.431e5,0,28.486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.104,9.877,922.4,337.284,0.007,0.089
11.976,488.138,-6.466,4.735,14.244,29.243,276.311,0.16,276.311,0.033,7.605,28.857,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.043,6.337e5,0,27.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.087,9.877,922.4,337.284,0.007,0.089
11.983,488.091,-6.433,4.448,14.03,28.298,276.367,0.16,276.367,0.033,7.398,27.947,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.042,6.242e5,0,26.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.07,9.877,922.4,337.284,0.007,0.089
11.991,488.041,-6.401,4.162,13.813,27.356,276.423,0.16,276.423,0.033,7.189,27.037,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.042,6.145e5,0,26.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.052,9.877,922.4,337.285,0.008,0.089
11.999,487.989,-6.369,3.876,13.594,26.415,276.481,0.16,276.481,0.033,6.976,26.129,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.041,6.048e5,0,25.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.033,9.878,922.4,337.285,0.008,0.089
12.008,487.935,-6.338,3.591,13.371,25.477,276.54,0.16,276.54,0.033,6.76,25.222,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.04,5.949e5,0,24.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.014,9.878,922.4,337.285,0.009,0.089
12.018,487.868,-6.303,3.337,13.141,24.673,276.61,0.16,276.61,0.033,6.503,24.446,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.04,5.846e5,0,23.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.028,9.878,922.4,337.285,0.01,0.089
12.029,487.797,-6.269,3.047,12.912,23.758,276.681,0.16,276.681,0.033,6.237,23.562,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.039,5.744e5,0,22.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.05,9.879,922.4,337.285,0.011,0.089
12.041,487.722,-6.236,2.755,12.679,22.836,276.755,0.161,276.755,0.033,5.965,22.669,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.038,5.641e5,0,22.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.074,9.879,922.5,337.286,0.012,0.089
12.054,487.643,-6.204,2.466,12.443,21.917,276.829,0.161,276.829,0.033,5.686,21.778,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.038,5.536e5,0,21.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.1,9.88,922.5,337.286,0.013,0.089
12.068,487.559,-6.175,2.175,12.204,20.989,276.904,0.161,276.904,0.033,5.404,20.876,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.037,5.43e5,0,20.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,5.123,9.88,922.5,337.286,0.014,0.089
12.082,487.472,-6.148,1.883,11.963,20.049,276.978,0.161,276.978,0.033,5.123,19.96,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.036,5.322e5,0,19.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.843e-4,NaN,NaN,NaN,NaN,5.139,9.881,922.5,337.287,0.014,0.089
12.097,487.379,-6.124,1.603,11.717,19.143,277.054,0.161,277.054,0.033,4.834,19.075,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.036,5.213e5,0,19.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.502e-4,NaN,NaN,NaN,NaN,5.155,9.881,922.5,337.287,0.015,0.089
12.113,487.279,-6.102,1.326,11.467,18.24,277.13,0.161,277.13,0.033,4.536,18.192,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.035,5.102e5,0,18.268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.159e-4,NaN,NaN,NaN,NaN,5.172,9.882,922.5,337.287,0.016,0.089
12.129,487.186,-6.087,1.014,11.214,17.198,277.198,0.161,277.198,0.033,4.274,17.168,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.034,4.989e5,0,17.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.815e-4,NaN,NaN,NaN,NaN,5.145,9.883,922.5,337.288,0.015,0.089
12.145,487.088,-6.075,0.742,10.958,16.279,277.265,0.162,277.265,0.033,4.011,16.262,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.033,4.875e5,0,16.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.521e-4,NaN,NaN,NaN,NaN,5.109,9.883,922.5,337.288,0.016,0.089
12.162,486.981,-6.066,0.479,10.699,15.386,277.333,0.162,277.333,0.033,3.741,15.379,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.032,4.76e5,0,15.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.237e-4,NaN,NaN,NaN,NaN,5.071,9.884,922.5,337.289,0.018,0.089
12.181,486.867,-6.062,0.216,10.436,14.489,277.401,0.162,277.401,0.033,3.468,14.488,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.032,4.643e5,0,15.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.956e-4,NaN,NaN,NaN,NaN,5.027,9.885,922.5,337.289,0.019,0.089
12.202,486.742,-6.063,-0.04,10.17,13.606,277.469,0.162,277.469,0.033,3.188,13.606,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.031,4.525e5,0,14.346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.685e-4,NaN,NaN,NaN,NaN,4.978,9.885,922.6,337.289,0.021,0.089
12.225,486.602,-6.07,-0.287,9.903,12.751,277.539,0.162,277.539,0.034,2.894,12.748,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.03,4.406e5,0,13.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.423e-4,NaN,NaN,NaN,NaN,4.93,9.886,922.6,337.29,0.023,0.089
12.257,486.409,-6.085,-0.48,9.625,12.06,277.625,0.163,277.625,0.034,2.51,12.051,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.029,4.283e5,0,13.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.168e-4,NaN,NaN,NaN,NaN,4.947,9.887,922.6,337.29,0.032,0.089
12.291,486.201,-6.11,-0.722,9.358,11.174,277.704,0.163,277.705,0.034,2.13,11.15,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.029,4.164e5,0,12.319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.865e-4,NaN,NaN,NaN,NaN,4.958,9.888,922.6,337.291,0.034,0.089
12.325,485.99,-6.143,-0.975,9.089,10.234,277.772,0.163,277.772,0.034,1.78,10.188,49.217,16.501,9.808,NaN,NaN,NaN,NaN,856,166,NaN,NaN,NaN,NaN,NaN,0.028,4.044e5,0,11.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.606e-4,NaN,NaN,NaN,NaN,4.918,9.89,922.6,337.292,0.034,0.089
